Sample	Date	Type	Instrument
LFS_05F_24_pre_r2	10/1/18	SWATH	ProCan 5
LFS_05F_24_pre_r3	12/1/18	SWATH	ProCan 5
MeT_4A_post_r1	13/2/17	SWATH	ProCan 5
MeT_4A_post_r2	13/2/17	SWATH	ProCan 5
MeT_4A_post_r3	13/2/17	SWATH	ProCan 5
MeT_4A_post_r1	17/2/17	SWATH	ProCan 5
MeT_4A_post_r2	17/2/17	SWATH	ProCan 5
MeT_4A_post_r3	17/2/17	SWATH	ProCan 5
MeT_4A_post_r1	19/1/17	SWATH	ProCan 2
MeT_4A_post_r2	19/1/17	SWATH	ProCan 2
MeT_4A_post_r3	19/1/17	SWATH	ProCan 2
MeT_4A_pre_r1	7/1/18	SWATH	ProCan 5
MeT_4A_pre_r2	10/1/18	SWATH	ProCan 5
MeT_4A_pre_r3	11/1/18	SWATH	ProCan 5
VA13_r1	1/2/17	SWATH	ProCan 5
VA13_r2	1/2/17	SWATH	ProCan 5
VA13_r1	17/2/17	SWATH	ProCan 5
VA13_r2	17/2/17	SWATH	ProCan 5
WI38_r1	7/1/18	SWATH	ProCan 5
WI38_r2	10/1/18	SWATH	ProCan 5
WI38_r3	11/1/18	SWATH	ProCan 5
