Mortal	Immortal	Protein	nPeptide	log2FC	log2FC_SE	FDR	log_oddsDE
JFCF_6	JFCF_6_T_1_C	sp|Q9NVI7|ATD3A_HUMAN	4	-0.138178	0.112851	0.750311	-5.04775
JFCF_6	JFCF_6_T_1_C	sp|Q9NVP1|DDX18_HUMAN	3	-0.56815	0.618999	0.627715	-3.93685
JFCF_6	JFCF_6_T_1_C	sp|Q9NW13|RBM28_HUMAN	2	0.0250888	0.111518	0.731698	-4.89769
JFCF_6	JFCF_6_T_1_C	sp|Q9NX63|MIC19_HUMAN	2	0.0813611	0.864391	0.762141	-5.19978
JFCF_6	JFCF_6_T_1_C	sp|Q9NYL4|FKB11_HUMAN	2	0.527857	1.13953	0.714545	-4.74813
JFCF_6	JFCF_6_T_1_C	sp|Q9NYL9|TMOD3_HUMAN	4	0.573986	0.307605	0.383771	-1.96054
JFCF_6	JFCF_6_T_1_C	sp|Q9NYU2|UGGG1_HUMAN	8	0.777186	0.59571	0.257356	-1.07837
JFCF_6	JFCF_6_T_1_C	sp|Q9NZ45|CISD1_HUMAN	2	0.942397	0.152118	0.0804522	0.653248
JFCF_6	JFCF_6_T_1_C	sp|Q9NZB2|F120A_HUMAN	3	0.985664	0.336154	0.10609	0.315605
JFCF_6	JFCF_6_T_1_C	sp|Q9NZL9|MAT2B_HUMAN	2	-0.015971	0.104286	0.760961	-5.16727
JFCF_6	JFCF_6_T_1_C	sp|Q9NZM1|MYOF_HUMAN	11	1.49171	0.904175	0.000344255	5.78271
JFCF_6	JFCF_6_T_1_C	sp|Q9NZN3|EHD3_HUMAN	1	0.301826	0.347926	0.700747	-4.61988
JFCF_6	JFCF_6_T_1_C	sp|Q9NZN4|EHD2_HUMAN	7	1.4537	0.622819	0.000207647	6.16187
JFCF_6	JFCF_6_T_1_C	sp|Q9NZU5|LMCD1_HUMAN	2	1.74307	1.55522	0.541495	-3.14138
JFCF_6	JFCF_6_T_1_C	sp|Q9P0K7|RAI14_HUMAN	2	0.933192	0.28123	0.485809	-2.63216
JFCF_6	JFCF_6_T_1_C	sp|Q9P1F3|ABRAL_HUMAN	2	0.194901	0.562747	0.748225	-5.02868
JFCF_6	JFCF_6_T_1_C	sp|Q9P2E9|RRBP1_HUMAN	23	1.16516	0.756618	3.0566e-09	17.3092
JFCF_6	JFCF_6_T_1_C	sp|Q9P2J5|SYLC_HUMAN	6	0.288639	0.185497	0.584988	-3.431
