Mortal	Immortal	Protein	nPeptide	log2FC	log2FC_SE	FDR	log_oddsDE
IIICF_P7	IIICF_d2	sp|A1L0T0|ILVBL_HUMAN	2	-0.252186	0.183407	0.765606	-5.14497
IIICF_P7	IIICF_d2	sp|A5A3E0|POTEF_HUMAN	2	-0.31228	0.262019	0.739747	-4.86922
IIICF_P7	IIICF_d2	sp|A5YKK6|CNOT1_HUMAN	2	-1.22443	0.391772	0.171242	-0.298549
IIICF_P7	IIICF_d2	sp|E9PAV3|NACAM_HUMAN	2	-0.225476	0.431877	0.80547	-5.46878
IIICF_P7	IIICF_d2	sp|O00116|ADAS_HUMAN	4	-0.614007	0.294932	0.199952	-0.464395
IIICF_P7	IIICF_d2	sp|O00148|DX39A_HUMAN	4	-0.35958	0.18193	0.587914	-3.4941
IIICF_P7	IIICF_d2	sp|O00151|PDLI1_HUMAN	2	-0.0840916	0.371874	0.821452	-5.65607
IIICF_P7	IIICF_d2	sp|O00154|BACH_HUMAN	5	-1.27359	0.530181	0.00342426	4.12333
IIICF_P7	IIICF_d2	sp|O00159|MYO1C_HUMAN	17	0.164654	0.375656	0.772505	-5.19879
IIICF_P7	IIICF_d2	sp|O00193|SMAP_HUMAN	2	-0.169973	0.481188	0.81024	-5.52247
IIICF_P7	IIICF_d2	sp|O00203|AP3B1_HUMAN	2	-0.0625584	0.235483	0.817578	-5.62668
IIICF_P7	IIICF_d2	sp|O00217|NDUS8_HUMAN	1	0.858894	1.20759	0.725744	-4.72462
IIICF_P7	IIICF_d2	sp|O00231|PSD11_HUMAN	6	-0.474517	0.369743	0.451378	-2.47397
IIICF_P7	IIICF_d2	sp|O00232|PSD12_HUMAN	9	-0.500537	0.389985	0.123132	0.194326
IIICF_P7	IIICF_d2	sp|O00233|PSMD9_HUMAN	2	-0.920381	0.373047	0.350508	-1.6653
IIICF_P7	IIICF_d2	sp|O00264|PGRC1_HUMAN	2	-0.0701923	0.613765	0.819283	-5.64066
IIICF_P7	IIICF_d2	sp|O00299|CLIC1_HUMAN	7	-0.564613	0.347336	0.0239401	1.97165
IIICF_P7	IIICF_d2	sp|O00303|EIF3F_HUMAN	6	-0.390824	0.240856	0.329858	-1.47704
IIICF_P7	IIICF_d2	sp|O00410|IPO5_HUMAN	12	0.26506	0.382482	0.637328	-3.92307
IIICF_P7	IIICF_d2	sp|O00429|DNM1L_HUMAN	6	-0.112434	0.22565	0.827505	-5.76503
IIICF_P7	IIICF_d2	sp|O00469|PLOD2_HUMAN	5	0.427203	0.828368	0.794733	-5.38583
IIICF_P7	IIICF_d2	sp|O00487|PSDE_HUMAN	3	-0.607117	0.312413	0.398541	-2.02996
IIICF_P7	IIICF_d2	sp|O00505|IMA4_HUMAN	2	-0.867545	0.430802	0.386621	-1.97664
IIICF_P7	IIICF_d2	sp|O00541|PESC_HUMAN	1	-0.314085	0.137235	0.74984	-4.98068
IIICF_P7	IIICF_d2	sp|O00560|SDCB1_HUMAN	4	0.562257	0.580125	0.66296	-4.16045
IIICF_P7	IIICF_d2	sp|O00567|NOP56_HUMAN	5	-0.247217	0.28202	0.759782	-5.06241
IIICF_P7	IIICF_d2	sp|O00571|DDX3X_HUMAN	5	-0.668678	0.441754	0.324038	-1.46422
IIICF_P7	IIICF_d2	sp|O00629|IMA3_HUMAN	1	-0.0970482	0.434101	0.789823	-5.35822
IIICF_P7	IIICF_d2	sp|O00764|PDXK_HUMAN	2	-0.586206	0.281658	0.553727	-3.1775
IIICF_P7	IIICF_d2	sp|O14556|G3PT_HUMAN	1	-1.20102	0.737445	0.528632	-2.97231
IIICF_P7	IIICF_d2	sp|O14558|HSPB6_HUMAN	3	-0.53108	0.204524	0.578278	-3.41229
IIICF_P7	IIICF_d2	sp|O14561|ACPM_HUMAN	1	-0.438879	0.633707	0.750807	-4.98444
IIICF_P7	IIICF_d2	sp|O14579|COPE_HUMAN	7	-0.0817449	0.378101	0.846679	-6.16937
IIICF_P7	IIICF_d2	sp|O14617|AP3D1_HUMAN	3	0.495246	0.206204	0.567253	-3.33342
IIICF_P7	IIICF_d2	sp|O14786|NRP1_HUMAN	2	-0.238542	0.421723	0.795168	-5.38782
IIICF_P7	IIICF_d2	sp|O14818|PSA7_HUMAN	6	-0.327947	0.29401	0.574663	-3.38766
IIICF_P7	IIICF_d2	sp|O14874|BCKD_HUMAN	1	-1.11737	0.757063	0.565365	-3.3028
IIICF_P7	IIICF_d2	sp|O14908|GIPC1_HUMAN	1	-0.154533	0.351674	0.79253	-5.37671
IIICF_P7	IIICF_d2	sp|O14964|HGS_HUMAN	1	-0.986948	0.46281	0.500773	-2.80817
IIICF_P7	IIICF_d2	sp|O14974|MYPT1_HUMAN	8	0.0677157	0.435182	0.849435	-6.28639
IIICF_P7	IIICF_d2	sp|O14979|HNRDL_HUMAN	4	-0.139235	0.416611	0.833882	-5.84732
IIICF_P7	IIICF_d2	sp|O14980|XPO1_HUMAN	7	-0.629965	0.36823	0.208573	-0.503717
IIICF_P7	IIICF_d2	sp|O15013|ARHGA_HUMAN	1	-1.06815	1.05653	0.651532	-4.04133
IIICF_P7	IIICF_d2	sp|O15143|ARC1B_HUMAN	8	-0.162093	0.392423	0.826108	-5.74023
IIICF_P7	IIICF_d2	sp|O15144|ARPC2_HUMAN	4	0.0887112	0.351076	0.840599	-5.98578
IIICF_P7	IIICF_d2	sp|O15145|ARPC3_HUMAN	4	0.223286	0.384929	0.799833	-5.43461
IIICF_P7	IIICF_d2	sp|O15269|SPTC1_HUMAN	3	0.624915	0.521328	0.613755	-3.74416
IIICF_P7	IIICF_d2	sp|O15347|HMGB3_HUMAN	2	-0.689925	0.398074	0.549719	-3.16098
IIICF_P7	IIICF_d2	sp|O15355|PPM1G_HUMAN	4	-1.3331	0.681101	0.164549	-0.220562
IIICF_P7	IIICF_d2	sp|O15371|EIF3D_HUMAN	5	-0.371008	0.333067	0.626262	-3.83751
IIICF_P7	IIICF_d2	sp|O15372|EIF3H_HUMAN	2	-0.195694	0.621955	0.822109	-5.66056
IIICF_P7	IIICF_d2	sp|O15400|STX7_HUMAN	2	0.376585	0.494075	0.753976	-5.01106
IIICF_P7	IIICF_d2	sp|O15460|P4HA2_HUMAN	6	0.729476	0.804411	0.58095	-3.42996
IIICF_P7	IIICF_d2	sp|O15511|ARPC5_HUMAN	3	-0.0230695	0.422454	0.841255	-5.99908
IIICF_P7	IIICF_d2	sp|O43143|DHX15_HUMAN	11	-1.03804	0.576965	5.01883e-05	8.12121
IIICF_P7	IIICF_d2	sp|O43175|SERA_HUMAN	10	-1.15458	0.533275	4.40807e-06	9.87328
IIICF_P7	IIICF_d2	sp|O43237|DC1L2_HUMAN	4	0.12517	0.544199	0.832296	-5.82661
IIICF_P7	IIICF_d2	sp|O43242|PSMD3_HUMAN	8	-0.586235	0.323419	0.0131551	2.55574
IIICF_P7	IIICF_d2	sp|O43294|TGFI1_HUMAN	3	-0.23785	0.257599	0.760969	-5.0705
IIICF_P7	IIICF_d2	sp|O43324|MCA3_HUMAN	2	0.0874528	0.281099	0.819114	-5.64001
IIICF_P7	IIICF_d2	sp|O43390|HNRPR_HUMAN	7	-0.539964	0.527111	0.527531	-2.96933
IIICF_P7	IIICF_d2	sp|O43396|TXNL1_HUMAN	1	-0.66691	0.499978	0.669815	-4.22668
IIICF_P7	IIICF_d2	sp|O43399|TPD54_HUMAN	5	-0.166228	0.555041	0.838195	-5.92268
IIICF_P7	IIICF_d2	sp|O43432|IF4G3_HUMAN	2	0.0808595	0.0863135	0.790051	-5.3599
IIICF_P7	IIICF_d2	sp|O43491|E41L2_HUMAN	3	0.147722	0.451391	0.826577	-5.74795
IIICF_P7	IIICF_d2	sp|O43493|TGON2_HUMAN	2	0.309776	0.405232	0.76475	-5.13809
IIICF_P7	IIICF_d2	sp|O43615|TIM44_HUMAN	1	-0.211881	0.370627	0.783708	-5.29321
IIICF_P7	IIICF_d2	sp|O43681|ASNA_HUMAN	3	-0.449005	0.37834	0.681166	-4.30444
IIICF_P7	IIICF_d2	sp|O43707|ACTN4_HUMAN	20	-0.963195	0.589774	1.9075e-08	16.2008
IIICF_P7	IIICF_d2	sp|O43747|AP1G1_HUMAN	1	-0.0754532	0.311867	0.790959	-5.36743
IIICF_P7	IIICF_d2	sp|O43765|SGTA_HUMAN	2	-1.25149	0.461472	0.316154	-1.40443
IIICF_P7	IIICF_d2	sp|O43776|SYNC_HUMAN	6	0.0362517	0.347229	0.845944	-6.13102
IIICF_P7	IIICF_d2	sp|O43795|MYO1B_HUMAN	4	0.194701	0.42789	0.817921	-5.63399
IIICF_P7	IIICF_d2	sp|O43809|CPSF5_HUMAN	1	-0.407429	0.632604	0.752085	-4.99435
IIICF_P7	IIICF_d2	sp|O43852|CALU_HUMAN	9	0.436727	0.646685	0.672039	-4.23794
IIICF_P7	IIICF_d2	sp|O60264|SMCA5_HUMAN	3	-0.348899	0.582678	0.776193	-5.23634
IIICF_P7	IIICF_d2	sp|O60493|SNX3_HUMAN	1	-0.362758	0.419197	0.751447	-4.98975
IIICF_P7	IIICF_d2	sp|O60506|HNRPQ_HUMAN	9	0.0420479	0.483178	0.851411	-6.46254
IIICF_P7	IIICF_d2	sp|O60565|GREM1_HUMAN	1	0.13543	0.446015	0.797315	-5.41169
IIICF_P7	IIICF_d2	sp|O60568|PLOD3_HUMAN	5	0.28799	0.208149	0.729572	-4.77156
IIICF_P7	IIICF_d2	sp|O60610|DIAP1_HUMAN	2	-0.80661	0.221796	0.512763	-2.8932
IIICF_P7	IIICF_d2	sp|O60645|EXOC3_HUMAN	1	-0.22821	0.238661	0.770615	-5.18355
IIICF_P7	IIICF_d2	sp|O60664|PLIN3_HUMAN	10	0.0386383	0.359585	0.851984	-6.50163
IIICF_P7	IIICF_d2	sp|O60684|IMA7_HUMAN	1	-0.255476	0.469151	0.771699	-5.1902
IIICF_P7	IIICF_d2	sp|O60701|UGDH_HUMAN	13	-0.553147	0.329473	2.77012e-05	8.16476
IIICF_P7	IIICF_d2	sp|O60711|LPXN_HUMAN	3	-0.795063	0.477376	0.405161	-2.07269
IIICF_P7	IIICF_d2	sp|O60716|CTND1_HUMAN	8	-0.0963404	0.348265	0.844076	-6.05356
IIICF_P7	IIICF_d2	sp|O60763|USO1_HUMAN	9	-0.264145	0.285939	0.589622	-3.50421
IIICF_P7	IIICF_d2	sp|O60784|TOM1_HUMAN	2	0.101852	0.453503	0.812447	-5.5448
IIICF_P7	IIICF_d2	sp|O60831|PRAF2_HUMAN	2	-0.241324	0.323365	0.782246	-5.28648
IIICF_P7	IIICF_d2	sp|O60841|IF2P_HUMAN	6	-0.0264636	0.405763	0.846922	-6.17751
IIICF_P7	IIICF_d2	sp|O60869|EDF1_HUMAN	2	0.458088	0.445954	0.717757	-4.63424
IIICF_P7	IIICF_d2	sp|O60884|DNJA2_HUMAN	3	-0.017793	0.426103	0.83215	-5.82398
IIICF_P7	IIICF_d2	sp|O60888|CUTA_HUMAN	1	-0.27322	0.280975	0.76302	-5.10831
IIICF_P7	IIICF_d2	sp|O75083|WDR1_HUMAN	9	-0.776317	0.477045	0.00136278	4.85903
IIICF_P7	IIICF_d2	sp|O75131|CPNE3_HUMAN	3	-0.839811	0.523445	0.427451	-2.21334
IIICF_P7	IIICF_d2	sp|O75326|SEM7A_HUMAN	2	-0.523225	0.448189	0.704881	-4.52307
IIICF_P7	IIICF_d2	sp|O75347|TBCA_HUMAN	3	-1.47668	0.803982	0.275181	-1.11815
IIICF_P7	IIICF_d2	sp|O75348|VATG1_HUMAN	1	0.0377052	0.533874	0.794077	-5.38472
IIICF_P7	IIICF_d2	sp|O75367|H2AY_HUMAN	5	-0.876823	0.870902	0.579172	-3.42764
IIICF_P7	IIICF_d2	sp|O75368|SH3L1_HUMAN	2	-1.21538	0.406658	0.20212	-0.466765
IIICF_P7	IIICF_d2	sp|O75369|FLNB_HUMAN	26	-0.831357	0.503088	0	22.9508
IIICF_P7	IIICF_d2	sp|O75380|NDUS6_HUMAN	1	-0.458957	0.500416	0.734756	-4.80904
IIICF_P7	IIICF_d2	sp|O75390|CISY_HUMAN	5	0.302253	0.474604	0.768138	-5.16463
IIICF_P7	IIICF_d2	sp|O75396|SC22B_HUMAN	7	-0.823674	0.575746	0.206429	-0.499847
IIICF_P7	IIICF_d2	sp|O75436|VP26A_HUMAN	2	-0.280473	0.40239	0.773305	-5.2066
IIICF_P7	IIICF_d2	sp|O75477|ERLN1_HUMAN	2	0.560362	0.512719	0.69226	-4.40931
IIICF_P7	IIICF_d2	sp|O75489|NDUS3_HUMAN	2	0.292046	0.369478	0.76758	-5.15938
IIICF_P7	IIICF_d2	sp|O75506|HSBP1_HUMAN	1	-0.0653371	0.418217	0.80429	-5.46316
IIICF_P7	IIICF_d2	sp|O75531|BAF_HUMAN	2	-0.307661	0.537839	0.786574	-5.31918
IIICF_P7	IIICF_d2	sp|O75533|SF3B1_HUMAN	9	-0.340128	0.401389	0.631876	-3.87353
IIICF_P7	IIICF_d2	sp|O75534|CSDE1_HUMAN	3	-0.878757	0.531067	0.446983	-2.46259
IIICF_P7	IIICF_d2	sp|O75643|U520_HUMAN	10	-0.569509	0.390095	0.06967	0.847736
IIICF_P7	IIICF_d2	sp|O75694|NU155_HUMAN	3	-0.60505	0.420728	0.590471	-3.5075
IIICF_P7	IIICF_d2	sp|O75844|FACE1_HUMAN	1	-0.114988	0.824951	0.802692	-5.45405
IIICF_P7	IIICF_d2	sp|O75874|IDHC_HUMAN	4	-0.438233	0.265167	0.562503	-3.27565
IIICF_P7	IIICF_d2	sp|O75915|PRAF3_HUMAN	2	-0.0166541	0.427849	0.815136	-5.59007
IIICF_P7	IIICF_d2	sp|O75937|DNJC8_HUMAN	1	-0.266946	0.521965	0.770887	-5.18685
IIICF_P7	IIICF_d2	sp|O75955|FLOT1_HUMAN	3	-0.295006	0.423231	0.773836	-5.2132
IIICF_P7	IIICF_d2	sp|O75962|TRIO_HUMAN	2	-0.663674	0.480822	0.645855	-3.97618
IIICF_P7	IIICF_d2	sp|O76003|GLRX3_HUMAN	4	-0.442861	0.5799	0.733296	-4.79836
IIICF_P7	IIICF_d2	sp|O76021|RL1D1_HUMAN	4	-0.250451	0.402007	0.78821	-5.34237
IIICF_P7	IIICF_d2	sp|O76071|CIAO1_HUMAN	1	-1.02499	0.245869	0.44402	-2.42752
IIICF_P7	IIICF_d2	sp|O76094|SRP72_HUMAN	4	-0.663033	0.435377	0.400209	-2.03453
IIICF_P7	IIICF_d2	sp|O94776|MTA2_HUMAN	2	-0.115004	0.544657	0.825165	-5.72154
IIICF_P7	IIICF_d2	sp|O94826|TOM70_HUMAN	4	0.137138	0.407513	0.831123	-5.81728
IIICF_P7	IIICF_d2	sp|O94851|MICA2_HUMAN	2	-0.0147156	0.382238	0.821617	-5.65683
IIICF_P7	IIICF_d2	sp|O94855|SC24D_HUMAN	5	0.273374	0.398051	0.762729	-5.10321
IIICF_P7	IIICF_d2	sp|O94874|UFL1_HUMAN	1	-0.28141	0.415613	0.76952	-5.1774
IIICF_P7	IIICF_d2	sp|O94905|ERLN2_HUMAN	3	0.0301202	0.407472	0.831418	-5.8193
IIICF_P7	IIICF_d2	sp|O94925|GLSK_HUMAN	6	0.0738273	0.666502	0.844328	-6.06408
IIICF_P7	IIICF_d2	sp|O94979|SC31A_HUMAN	14	0.100719	0.611228	0.851297	-6.44586
IIICF_P7	IIICF_d2	sp|O95183|VAMP5_HUMAN	2	-1.25798	0.500325	0.318133	-1.42018
IIICF_P7	IIICF_d2	sp|O95299|NDUAA_HUMAN	2	-0.0379664	0.347075	0.820624	-5.64889
IIICF_P7	IIICF_d2	sp|O95302|FKBP9_HUMAN	5	0.460726	0.693786	0.739046	-4.86527
IIICF_P7	IIICF_d2	sp|O95336|6PGL_HUMAN	3	-0.699148	0.22794	0.0965017	0.454931
IIICF_P7	IIICF_d2	sp|O95340|PAPS2_HUMAN	5	-0.293649	0.301122	0.731447	-4.78878
IIICF_P7	IIICF_d2	sp|O95373|IPO7_HUMAN	8	-0.378693	0.349616	0.476491	-2.63201
IIICF_P7	IIICF_d2	sp|O95394|AGM1_HUMAN	2	-0.822152	0.482705	0.543583	-3.09869
IIICF_P7	IIICF_d2	sp|O95433|AHSA1_HUMAN	5	-0.211744	0.203552	0.736201	-4.82087
IIICF_P7	IIICF_d2	sp|O95456|PSMG1_HUMAN	2	-0.955029	0.515497	0.501995	-2.80938
IIICF_P7	IIICF_d2	sp|O95479|G6PE_HUMAN	2	0.188417	0.544016	0.803694	-5.45951
IIICF_P7	IIICF_d2	sp|O95573|ACSL3_HUMAN	7	-0.822967	0.466978	0.0538205	1.05526
IIICF_P7	IIICF_d2	sp|O95747|OXSR1_HUMAN	2	-0.53651	0.609096	0.722205	-4.70264
IIICF_P7	IIICF_d2	sp|O95782|AP2A1_HUMAN	5	-0.116546	0.30341	0.83302	-5.83125
IIICF_P7	IIICF_d2	sp|O95816|BAG2_HUMAN	6	0.804457	0.474761	0.142065	-0.0704791
IIICF_P7	IIICF_d2	sp|O95817|BAG3_HUMAN	3	0.18122	0.311087	0.808928	-5.48998
IIICF_P7	IIICF_d2	sp|O95831|AIFM1_HUMAN	4	-0.0283853	0.254977	0.835578	-5.8791
IIICF_P7	IIICF_d2	sp|O95881|TXD12_HUMAN	4	0.277163	0.348264	0.751128	-4.9853
IIICF_P7	IIICF_d2	sp|O96019|ACL6A_HUMAN	3	-0.488846	0.343691	0.597966	-3.57093
IIICF_P7	IIICF_d2	sp|P00338|LDHA_HUMAN	6	0.09971	0.467501	0.846312	-6.15684
IIICF_P7	IIICF_d2	sp|P00367|DHE3_HUMAN	10	0.103538	0.475256	0.849081	-6.27444
IIICF_P7	IIICF_d2	sp|P00387|NB5R3_HUMAN	7	-0.0681403	0.440111	0.84967	-6.29359
IIICF_P7	IIICF_d2	sp|P00403|COX2_HUMAN	1	-0.798537	0.416275	0.585328	-3.45095
IIICF_P7	IIICF_d2	sp|P00492|HPRT_HUMAN	5	-0.926182	0.493809	0.135717	0.0925841
IIICF_P7	IIICF_d2	sp|P00533|EGFR_HUMAN	2	0.0499728	0.313299	0.82437	-5.71449
IIICF_P7	IIICF_d2	sp|P00558|PGK1_HUMAN	15	-0.862426	0.446141	6.81701e-08	15.0653
IIICF_P7	IIICF_d2	sp|P02452|CO1A1_HUMAN	19	-0.131883	0.925723	0.852098	-6.52167
IIICF_P7	IIICF_d2	sp|P02458|CO2A1_HUMAN	2	-0.635616	0.540185	0.683241	-4.31812
IIICF_P7	IIICF_d2	sp|P02461|CO3A1_HUMAN	6	-0.561266	0.443351	0.544616	-3.10568
IIICF_P7	IIICF_d2	sp|P02511|CRYAB_HUMAN	2	-0.223254	0.414029	0.786809	-5.32056
IIICF_P7	IIICF_d2	sp|P02545|LMNA_HUMAN	19	-0.046755	0.554712	0.853229	-6.79832
IIICF_P7	IIICF_d2	sp|P02751|FINC_HUMAN	21	0.897818	1.19513	0.4165	-2.15661
IIICF_P7	IIICF_d2	sp|P02768|ALBU_HUMAN	1	-0.0110105	0.75461	0.80817	-5.47961
IIICF_P7	IIICF_d2	sp|P02786|TFR1_HUMAN	9	-0.443191	0.327423	0.247148	-0.856473
IIICF_P7	IIICF_d2	sp|P02795|MT2_HUMAN	2	-1.96939	0.410736	0.00322614	4.17694
IIICF_P7	IIICF_d2	sp|P04062|GLCM_HUMAN	7	0.212834	0.472994	0.818775	-5.63844
IIICF_P7	IIICF_d2	sp|P04075|ALDOA_HUMAN	7	-0.762224	0.588162	0.325991	-1.4707
IIICF_P7	IIICF_d2	sp|P04080|CYTB_HUMAN	4	-0.831091	0.361752	0.059031	0.977905
IIICF_P7	IIICF_d2	sp|P04083|ANXA1_HUMAN	12	-0.797754	0.453363	2.091e-05	8.71838
IIICF_P7	IIICF_d2	sp|P04114|APOB_HUMAN	3	0.828444	0.841303	0.679592	-4.28658
IIICF_P7	IIICF_d2	sp|P04181|OAT_HUMAN	6	0.354302	0.638372	0.783949	-5.29806
IIICF_P7	IIICF_d2	sp|P04183|KITH_HUMAN	2	-1.20367	0.445287	0.363409	-1.81646
IIICF_P7	IIICF_d2	sp|P04216|THY1_HUMAN	2	0.770048	0.956136	0.718984	-4.64848
IIICF_P7	IIICF_d2	sp|P04264|K2C1_HUMAN	1	-0.39902	0.505016	0.748866	-4.96848
IIICF_P7	IIICF_d2	sp|P04406|G3P_HUMAN	16	-0.582273	0.532494	0.026963	1.93966
IIICF_P7	IIICF_d2	sp|P04632|CPNS1_HUMAN	5	-0.744929	0.383573	0.2107	-0.532487
IIICF_P7	IIICF_d2	sp|P04792|HSPB1_HUMAN	13	0.785707	0.750427	0.102671	0.398458
IIICF_P7	IIICF_d2	sp|P04843|RPN1_HUMAN	20	0.443376	0.507754	0.148914	-0.120464
IIICF_P7	IIICF_d2	sp|P04844|RPN2_HUMAN	10	0.332765	0.540152	0.698	-4.466
IIICF_P7	IIICF_d2	sp|P04899|GNAI2_HUMAN	7	-0.0206459	0.424085	0.850603	-6.37784
IIICF_P7	IIICF_d2	sp|P05023|AT1A1_HUMAN	6	-0.476441	0.427994	0.461395	-2.56794
IIICF_P7	IIICF_d2	sp|P05114|HMGN1_HUMAN	3	-0.836982	1.28889	0.752718	-4.99763
IIICF_P7	IIICF_d2	sp|P05120|PAI2_HUMAN	9	0.18445	0.861629	0.847649	-6.20309
IIICF_P7	IIICF_d2	sp|P05121|PAI1_HUMAN	2	0.0618106	1.10216	0.814782	-5.58605
IIICF_P7	IIICF_d2	sp|P05141|ADT2_HUMAN	1	-0.0556514	0.45531	0.792974	-5.37897
IIICF_P7	IIICF_d2	sp|P05198|IF2A_HUMAN	6	-0.689633	0.494709	0.381376	-1.948
IIICF_P7	IIICF_d2	sp|P05204|HMGN2_HUMAN	2	-2.14885	1.35494	0.466987	-2.59555
IIICF_P7	IIICF_d2	sp|P05386|RLA1_HUMAN	3	0.263541	0.572867	0.813172	-5.55873
IIICF_P7	IIICF_d2	sp|P05387|RLA2_HUMAN	4	-0.111851	0.522304	0.840071	-5.96729
IIICF_P7	IIICF_d2	sp|P05388|RLA0_HUMAN	9	0.428199	0.650418	0.688812	-4.37412
IIICF_P7	IIICF_d2	sp|P05455|LA_HUMAN	6	-0.248256	0.402126	0.766738	-5.15865
IIICF_P7	IIICF_d2	sp|P05556|ITB1_HUMAN	9	0.354793	0.438562	0.639995	-3.93259
IIICF_P7	IIICF_d2	sp|P06396|GELS_HUMAN	5	-0.55808	0.277317	0.139935	0.0428684
IIICF_P7	IIICF_d2	sp|P06454|PTMA_HUMAN	3	0.057095	0.809439	0.828424	-5.7788
IIICF_P7	IIICF_d2	sp|P06576|ATPB_HUMAN	11	0.0570071	0.433773	0.85187	-6.49493
IIICF_P7	IIICF_d2	sp|P06703|S10A6_HUMAN	4	-0.903817	0.5359	0.304162	-1.31549
IIICF_P7	IIICF_d2	sp|P06730|IF4E_HUMAN	2	0.928587	0.321842	0.433562	-2.27354
IIICF_P7	IIICF_d2	sp|P06733|ENOA_HUMAN	13	-0.927817	0.575542	0.000398033	5.94346
IIICF_P7	IIICF_d2	sp|P06737|PYGL_HUMAN	1	-0.141263	0.35792	0.786101	-5.31807
IIICF_P7	IIICF_d2	sp|P06744|G6PI_HUMAN	11	-1.32895	0.709004	7.35322e-06	9.73577
IIICF_P7	IIICF_d2	sp|P06748|NPM_HUMAN	6	0.203496	0.658294	0.83724	-5.9037
IIICF_P7	IIICF_d2	sp|P06756|ITAV_HUMAN	6	-0.00507103	0.426559	0.844703	-6.07347
IIICF_P7	IIICF_d2	sp|P07093|GDN_HUMAN	3	0.420269	0.746645	0.775152	-5.2301
IIICF_P7	IIICF_d2	sp|P07099|HYEP_HUMAN	1	0.518398	0.861221	0.74623	-4.9301
IIICF_P7	IIICF_d2	sp|P07108|ACBP_HUMAN	1	-1.76722	1.20016	0.493328	-2.7596
IIICF_P7	IIICF_d2	sp|P07195|LDHB_HUMAN	7	-0.00377486	0.328286	0.850487	-6.37505
IIICF_P7	IIICF_d2	sp|P07237|PDIA1_HUMAN	18	0.291289	0.492318	0.594668	-3.55567
IIICF_P7	IIICF_d2	sp|P07339|CATD_HUMAN	5	-0.0548024	0.403018	0.842806	-6.02952
IIICF_P7	IIICF_d2	sp|P07355|ANXA2_HUMAN	19	-0.370158	0.508259	0.357906	-1.73779
IIICF_P7	IIICF_d2	sp|P07384|CAN1_HUMAN	5	-0.861502	0.382127	0.0279602	1.81861
IIICF_P7	IIICF_d2	sp|P07437|TBB5_HUMAN	4	-0.544165	0.185461	0.314175	-1.38053
IIICF_P7	IIICF_d2	sp|P07686|HEXB_HUMAN	2	-0.720306	0.395543	0.610694	-3.72135
IIICF_P7	IIICF_d2	sp|P07737|PROF1_HUMAN	9	-0.623996	0.359437	0.00362931	4.10204
IIICF_P7	IIICF_d2	sp|P07814|SYEP_HUMAN	19	-0.0143459	0.275445	0.853116	-6.76755
IIICF_P7	IIICF_d2	sp|P07858|CATB_HUMAN	10	0.185615	0.52636	0.835157	-5.87326
IIICF_P7	IIICF_d2	sp|P07900|HS90A_HUMAN	13	-0.713884	0.506298	0.00228052	4.41404
IIICF_P7	IIICF_d2	sp|P07910|HNRPC_HUMAN	1	0.0439049	0.302102	0.80683	-5.47082
IIICF_P7	IIICF_d2	sp|P07951|TPM2_HUMAN	2	0.177808	0.0413534	0.777482	-5.24927
IIICF_P7	IIICF_d2	sp|P07954|FUMH_HUMAN	8	-0.580124	0.37109	0.106762	0.372948
IIICF_P7	IIICF_d2	sp|P07996|TSP1_HUMAN	20	0.700106	0.976859	0.428985	-2.24878
IIICF_P7	IIICF_d2	sp|P08123|CO1A2_HUMAN	24	0.339868	0.894202	0.809492	-5.49688
IIICF_P7	IIICF_d2	sp|P08133|ANXA6_HUMAN	13	-0.185622	0.348272	0.745897	-4.93001
IIICF_P7	IIICF_d2	sp|P08134|RHOC_HUMAN	2	-1.2748	0.652718	0.29803	-1.29611
IIICF_P7	IIICF_d2	sp|P08195|4F2_HUMAN	11	0.203115	0.497914	0.820123	-5.64772
IIICF_P7	IIICF_d2	sp|P08237|PFKAM_HUMAN	1	-0.574757	0.388278	0.679064	-4.27792
IIICF_P7	IIICF_d2	sp|P08238|HS90B_HUMAN	7	-0.221563	0.278286	0.708865	-4.56258
IIICF_P7	IIICF_d2	sp|P08240|SRPRA_HUMAN	7	-0.0399162	0.288845	0.844828	-6.07728
IIICF_P7	IIICF_d2	sp|P08473|NEP_HUMAN	2	0.375443	0.239178	0.737986	-4.85407
IIICF_P7	IIICF_d2	sp|P08574|CY1_HUMAN	2	-0.101902	0.0988876	0.788442	-5.34321
IIICF_P7	IIICF_d2	sp|P08579|RU2B_HUMAN	2	-0.480199	0.791002	0.766174	-5.15468
IIICF_P7	IIICF_d2	sp|P08648|ITA5_HUMAN	8	0.208508	0.680121	0.839938	-5.96662
IIICF_P7	IIICF_d2	sp|P08670|VIME_HUMAN	27	0.817402	0.641748	1.88017e-06	11.5908
IIICF_P7	IIICF_d2	sp|P08708|RS17_HUMAN	3	0.262659	0.48019	0.799001	-5.42763
IIICF_P7	IIICF_d2	sp|P08758|ANXA5_HUMAN	10	0.157667	0.5169	0.843444	-6.04176
IIICF_P7	IIICF_d2	sp|P08865|RSSA_HUMAN	4	0.0816619	0.453637	0.843062	-6.03919
IIICF_P7	IIICF_d2	sp|P09038|FGF2_HUMAN	2	0.0814139	0.724876	0.818944	-5.63947
IIICF_P7	IIICF_d2	sp|P09104|ENOG_HUMAN	1	-1.0097	0.309708	0.414901	-2.15617
IIICF_P7	IIICF_d2	sp|P09110|THIK_HUMAN	4	-0.578485	0.317365	0.459981	-2.5609
